"","incits","county or equivalent","state or equivalent"
"1324","26157","Tuscola County","Michigan"
"1325","26159","Van Buren County","Michigan"
"1326","26161","Washtenaw County","Michigan"
"1327","26163","Wayne County","Michigan"
"1328","26165","Wexford County","Michigan"
"1329","27001","Aitkin County","Minnesota"
"1330","27003","Anoka County","Minnesota"
"1331","27005","Becker County","Minnesota"
"1332","27007","Beltrami County","Minnesota"
"1333","27009","Benton County","Minnesota"
"1334","27011","Big Stone County","Minnesota"
"1335","27013","Blue Earth County","Minnesota"
"1336","27015","Brown County","Minnesota"
"1337","27017","Carlton County","Minnesota"
"1338","27019","Carver County","Minnesota"
"1339","27021","Cass County","Minnesota"
"1340","27023","Chippewa County","Minnesota"
"1341","27025","Chisago County","Minnesota"
"1342","27027","Clay County","Minnesota"
"1343","27029","Clearwater County","Minnesota"
"1344","27031","Cook County","Minnesota"
"1345","27033","Cottonwood County","Minnesota"
"1346","27035","Crow Wing County","Minnesota"
"1347","27037","Dakota County","Minnesota"
"1348","27039","Dodge County","Minnesota"
"1349","27041","Douglas County","Minnesota"
"1350","27043","Faribault County","Minnesota"
"1351","27045","Fillmore County","Minnesota"
"1352","27047","Freeborn County","Minnesota"
"1353","27049","Goodhue County","Minnesota"
"1354","27051","Grant County","Minnesota"
"1355","27053","Hennepin County","Minnesota"
"1356","27055","Houston County","Minnesota"
"1357","27057","Hubbard County","Minnesota"
"1358","27059","Isanti County","Minnesota"
"1359","27061","Itasca County","Minnesota"
"1360","27063","Jackson County","Minnesota"
"1361","27065","Kanabec County","Minnesota"
"1362","27067","Kandiyohi County","Minnesota"
"1363","27069","Kittson County","Minnesota"
"1364","27071","Koochiching County","Minnesota"
"1365","27073","Lac qui Parle County","Minnesota"
"1366","27075","Lake County","Minnesota"
"1367","27077","Lake of the Woods County","Minnesota"
"1368","27079","Le Sueur County","Minnesota"
"1369","27081","Lincoln County","Minnesota"
"1370","27083","Lyon County","Minnesota"
"1371","27085","McLeod County","Minnesota"
"1372","27087","Mahnomen County","Minnesota"
"1373","27089","Marshall County","Minnesota"
"1374","27091","Martin County","Minnesota"
"1375","27093","Meeker County","Minnesota"
"1376","27095","Mille Lacs County","Minnesota"
"1377","27097","Morrison County","Minnesota"
"1378","27099","Mower County","Minnesota"
"1379","27101","Murray County","Minnesota"
"1380","27103","Nicollet County","Minnesota"
"1381","27105","Nobles County","Minnesota"
"1382","27107","Norman County","Minnesota"
"1383","27109","Olmsted County","Minnesota"
"1384","27111","Otter Tail County","Minnesota"
"1385","27113","Pennington County","Minnesota"
"1386","27115","Pine County","Minnesota"
"1387","27117","Pipestone County","Minnesota"
"1388","27119","Polk County","Minnesota"
"1389","27121","Pope County","Minnesota"
"1390","27123","Ramsey County","Minnesota"
"1391","27125","Red Lake County","Minnesota"
"1392","27127","Redwood County","Minnesota"
"1393","27129","Renville County","Minnesota"
"1394","27131","Rice County","Minnesota"
"1395","27133","Rock County","Minnesota"
"1396","27135","Roseau County","Minnesota"
"1397","27137","St. Louis County","Minnesota"
"1398","27139","Scott County","Minnesota"
"1399","27141","Sherburne County","Minnesota"
"1400","27143","Sibley County","Minnesota"
"1401","27145","Stearns County","Minnesota"
"1402","27147","Steele County","Minnesota"
"1403","27149","Stevens County","Minnesota"
"1404","27151","Swift County","Minnesota"
"1405","27153","Todd County","Minnesota"
"1406","27155","Traverse County","Minnesota"
"1407","27157","Wabasha County","Minnesota"
"1408","27159","Wadena County","Minnesota"
"1409","27161","Waseca County","Minnesota"
"1410","27163","Washington County","Minnesota"
"1411","27165","Watonwan County","Minnesota"
"1412","27167","Wilkin County","Minnesota"
"1413","27169","Winona County","Minnesota"
"1414","27171","Wright County","Minnesota"
"1415","27173","Yellow Medicine County","Minnesota"
"1416","28001","Adams County","Mississippi"
"1417","28003","Alcorn County","Mississippi"
"1418","28005","Amite County","Mississippi"
"1419","28007","Attala County","Mississippi"
"1420","28009","Benton County","Mississippi"
"1421","28011","Bolivar County","Mississippi"
"1422","28013","Calhoun County","Mississippi"
"1423","28015","Carroll County","Mississippi"
"1424","28017","Chickasaw County","Mississippi"
"1425","28019","Choctaw County","Mississippi"
"1426","28021","Claiborne County","Mississippi"
"1427","28023","Clarke County","Mississippi"
"1428","28025","Clay County","Mississippi"
"1429","28027","Coahoma County","Mississippi"
"1430","28029","Copiah County","Mississippi"
"1431","28031","Covington County","Mississippi"
"1432","28033","DeSoto County","Mississippi"
"1433","28035","Forrest County","Mississippi"
"1434","28037","Franklin County","Mississippi"
"1435","28039","George County","Mississippi"
"1436","28041","Greene County","Mississippi"
"1437","28043","Grenada County","Mississippi"
"1438","28045","Hancock County","Mississippi"
"1439","28047","Harrison County","Mississippi"
"1440","28049","Hinds County","Mississippi"
"1441","28051","Holmes County","Mississippi"
"1442","28053","Humphreys County","Mississippi"
"1443","28055","Issaquena County","Mississippi"
"1444","28057","Itawamba County","Mississippi"
"1445","28059","Jackson County","Mississippi"
"1446","28061","Jasper County","Mississippi"
"1447","28063","Jefferson County","Mississippi"
"1448","28065","Jefferson Davis County","Mississippi"
"1449","28067","Jones County","Mississippi"
"1450","28069","Kemper County","Mississippi"
"1451","28071","Lafayette County","Mississippi"
"1452","28073","Lamar County","Mississippi"
"1453","28075","Lauderdale County","Mississippi"
"1454","28077","Lawrence County","Mississippi"
"1455","28079","Leake County","Mississippi"
"1456","28081","Lee County","Mississippi"
"1457","28083","Leflore County","Mississippi"
"1458","28085","Lincoln County","Mississippi"
"1459","28087","Lowndes County","Mississippi"
"1460","28089","Madison County","Mississippi"
"1461","28091","Marion County","Mississippi"
"1462","28093","Marshall County","Mississippi"
"1463","28095","Monroe County","Mississippi"
"1464","28097","Montgomery County","Mississippi"
"1465","28099","Neshoba County","Mississippi"
"1466","28101","Newton County","Mississippi"
"1467","28103","Noxubee County","Mississippi"
"1468","28105","Oktibbeha County","Mississippi"
"1469","28107","Panola County","Mississippi"
"1470","28109","Pearl River County","Mississippi"
"1471","28111","Perry County","Mississippi"
"1472","28113","Pike County","Mississippi"
"1473","28115","Pontotoc County","Mississippi"
"1474","28117","Prentiss County","Mississippi"
"1475","28119","Quitman County","Mississippi"
"1476","28121","Rankin County","Mississippi"
"1477","28123","Scott County","Mississippi"
"1478","28125","Sharkey County","Mississippi"
"1479","28127","Simpson County","Mississippi"
"1480","28129","Smith County","Mississippi"
"1481","28131","Stone County","Mississippi"
"1482","28133","Sunflower County","Mississippi"
"1483","28135","Tallahatchie County","Mississippi"
"1484","28137","Tate County","Mississippi"
"1485","28139","Tippah County","Mississippi"
"1486","28141","Tishomingo County","Mississippi"
"1487","28143","Tunica County","Mississippi"
"1488","28145","Union County","Mississippi"
"1489","28147","Walthall County","Mississippi"
"1490","28149","Warren County","Mississippi"
"1491","28151","Washington County","Mississippi"
"1492","28153","Wayne County","Mississippi"
"1493","28155","Webster County","Mississippi"
"1494","28157","Wilkinson County","Mississippi"
"1495","28159","Winston County","Mississippi"
"1496","28161","Yalobusha County","Mississippi"
"1497","28163","Yazoo County","Mississippi"
"1498","29001","Adair County","Missouri"
"1499","29003","Andrew County","Missouri"
"1500","29005","Atchison County","Missouri"
"1501","29007","Audrain County","Missouri"
"1502","29009","Barry County","Missouri"
"1503","29011","Barton County","Missouri"
"1504","29013","Bates County","Missouri"
"1505","29015","Benton County","Missouri"
"1506","29017","Bollinger County","Missouri"
"1507","29019","Boone County","Missouri"
"1508","29021","Buchanan County","Missouri"
"1509","29023","Butler County","Missouri"
"1510","29025","Caldwell County","Missouri"
"1511","29027","Callaway County","Missouri"
"1512","29029","Camden County","Missouri"
"1513","29031","Cape Girardeau County","Missouri"
"1514","29033","Carroll County","Missouri"
"1515","29035","Carter County","Missouri"
"1516","29037","Cass County","Missouri"
"1517","29039","Cedar County","Missouri"
"1518","29041","Chariton County","Missouri"
"1519","29043","Christian County","Missouri"
"1520","29045","Clark County","Missouri"
"1521","29047","Clay County","Missouri"
"1522","29049","Clinton County","Missouri"
"1523","29051","Cole County","Missouri"
"1524","29053","Cooper County","Missouri"
"1525","29055","Crawford County","Missouri"
"1526","29057","Dade County","Missouri"
"1527","29059","Dallas County","Missouri"
"1528","29061","Daviess County","Missouri"
"1529","29063","DeKalb County","Missouri"
"1530","29065","Dent County","Missouri"
"1531","29067","Douglas County","Missouri"
"1532","29069","Dunklin County","Missouri"
"1533","29071","Franklin County","Missouri"
"1534","29073","Gasconade County","Missouri"
"1535","29075","Gentry County","Missouri"
"1536","29077","Greene County","Missouri"
"1537","29079","Grundy County","Missouri"
"1538","29081","Harrison County","Missouri"
"1539","29083","Henry County","Missouri"
"1540","29085","Hickory County","Missouri"
"1541","29087","Holt County","Missouri"
"1542","29089","Howard County","Missouri"
"1543","29091","Howell County","Missouri"
"1544","29093","Iron County","Missouri"
"1545","29095","Jackson County","Missouri"
"1546","29097","Jasper County","Missouri"
"1547","29099","Jefferson County","Missouri"
"1548","29101","Johnson County","Missouri"
"1549","29103","Knox County","Missouri"
"1550","29105","Laclede County","Missouri"
"1551","29107","Lafayette County","Missouri"
"1552","29109","Lawrence County","Missouri"
"1553","29111","Lewis County","Missouri"
"1554","29113","Lincoln County","Missouri"
"1555","29115","Linn County","Missouri"
"1556","29117","Livingston County","Missouri"
"1557","29119","McDonald County","Missouri"
"1558","29121","Macon County","Missouri"
"1559","29123","Madison County","Missouri"
"1560","29125","Maries County","Missouri"
"1561","29127","Marion County","Missouri"
"1562","29129","Mercer County","Missouri"
"1563","29131","Miller County","Missouri"
"1564","29133","Mississippi County","Missouri"
"1565","29135","Moniteau County","Missouri"
"1566","29137","Monroe County","Missouri"
"1567","29139","Montgomery County","Missouri"
"1568","29141","Morgan County","Missouri"
"1569","29143","New Madrid County","Missouri"
"1570","29145","Newton County","Missouri"
"1571","29147","Nodaway County","Missouri"
"1572","29149","Oregon County","Missouri"
"1573","29151","Osage County","Missouri"
"1574","29153","Ozark County","Missouri"
"1575","29155","Pemiscot County","Missouri"
"1576","29157","Perry County","Missouri"
"1577","29159","Pettis County","Missouri"
"1578","29161","Phelps County","Missouri"
"1579","29163","Pike County","Missouri"
"1580","29165","Platte County","Missouri"
"1581","29167","Polk County","Missouri"
"1582","29169","Pulaski County","Missouri"
"1583","29171","Putnam County","Missouri"
"1584","29173","Ralls County","Missouri"
"1585","29175","Randolph County","Missouri"
"1586","29177","Ray County","Missouri"
"1587","29179","Reynolds County","Missouri"
"1588","29181","Ripley County","Missouri"
"1589","29183","St. Charles County","Missouri"
"1590","29185","St. Clair County","Missouri"
"1591","29186","Ste. Genevieve County","Missouri"
"1592","29187","St. Francois County","Missouri"
"1593","29189","St. Louis County","Missouri"
"1594","29195","Saline County","Missouri"
"1595","29197","Schuyler County","Missouri"
"1596","29199","Scotland County","Missouri"
"1597","29201","Scott County","Missouri"
"1598","29203","Shannon County","Missouri"
"1599","29205","Shelby County","Missouri"
"1600","29207","Stoddard County","Missouri"
"1601","29209","Stone County","Missouri"
"1602","29211","Sullivan County","Missouri"
"1603","29213","Taney County","Missouri"
"1604","29215","Texas County","Missouri"
"1605","29217","Vernon County","Missouri"
"1606","29219","Warren County","Missouri"
"1607","29221","Washington County","Missouri"
"1608","29223","Wayne County","Missouri"
"1609","29225","Webster County","Missouri"
"1610","29227","Worth County","Missouri"
"1611","29229","Wright County","Missouri"
"1612","29510","St. Louis, City of[s]","Missouri"
"1613","30001","Beaverhead County","Montana"
"1614","30003","Big Horn County","Montana"
"1615","30005","Blaine County","Montana"
"1616","30007","Broadwater County","Montana"
"1617","30009","Carbon County","Montana"
"1618","30011","Carter County","Montana"
"1619","30013","Cascade County","Montana"
"1620","30015","Chouteau County","Montana"
"1621","30017","Custer County","Montana"
"1622","30019","Daniels County","Montana"
"1623","30021","Dawson County","Montana"
"1624","30023","Deer Lodge County","Montana"
"1625","30025","Fallon County","Montana"
"1626","30027","Fergus County","Montana"
"1627","30029","Flathead County","Montana"
"1628","30031","Gallatin County","Montana"
"1629","30033","Garfield County","Montana"
"1630","30035","Glacier County","Montana"
"1631","30037","Golden Valley County","Montana"
"1632","30039","Granite County","Montana"
"1633","30041","Hill County","Montana"
"1634","30043","Jefferson County","Montana"
"1635","30045","Judith Basin County","Montana"
"1636","30047","Lake County","Montana"
"1637","30049","Lewis and Clark County","Montana"
"1638","30051","Liberty County","Montana"
"1639","30053","Lincoln County","Montana"
"1640","30055","McCone County","Montana"
"1641","30057","Madison County","Montana"
"1642","30059","Meagher County","Montana"
"1643","30061","Mineral County","Montana"
"1644","30063","Missoula County","Montana"
"1645","30065","Musselshell County","Montana"
"1646","30067","Park County","Montana"
"1647","30069","Petroleum County","Montana"
"1648","30071","Phillips County","Montana"
"1649","30073","Pondera County","Montana"
"1650","30075","Powder River County","Montana"
"1651","30077","Powell County","Montana"
"1652","30079","Prairie County","Montana"
"1653","30081","Ravalli County","Montana"
"1654","30083","Richland County","Montana"
"1655","30085","Roosevelt County","Montana"
"1656","30087","Rosebud County","Montana"
"1657","30089","Sanders County","Montana"
"1658","30091","Sheridan County","Montana"
"1659","30093","Silver Bow County","Montana"
"1660","30095","Stillwater County","Montana"
"1661","30097","Sweet Grass County","Montana"
"1662","30099","Teton County","Montana"
"1663","30101","Toole County","Montana"
"1664","30103","Treasure County","Montana"
"1665","30105","Valley County","Montana"
"1666","30107","Wheatland County","Montana"
"1667","30109","Wibaux County","Montana"
"1668","30111","Yellowstone County","Montana"
"1669","31001","Adams County","Nebraska"
"1670","31003","Antelope County","Nebraska"
"1671","31005","Arthur County","Nebraska"
"1672","31007","Banner County","Nebraska"
"1673","31009","Blaine County","Nebraska"
"1674","31011","Boone County","Nebraska"
"1675","31013","Box Butte County","Nebraska"
"1676","31015","Boyd County","Nebraska"
"1677","31017","Brown County","Nebraska"
"1678","31019","Buffalo County","Nebraska"
"1679","31021","Burt County","Nebraska"
"1680","31023","Butler County","Nebraska"
"1681","31025","Cass County","Nebraska"
"1682","31027","Cedar County","Nebraska"
"1683","31029","Chase County","Nebraska"
"1684","31031","Cherry County","Nebraska"
"1685","31033","Cheyenne County","Nebraska"
"1686","31035","Clay County","Nebraska"
"1687","31037","Colfax County","Nebraska"
"1688","31039","Cuming County","Nebraska"
"1689","31041","Custer County","Nebraska"
"1690","31043","Dakota County","Nebraska"
"1691","31045","Dawes County","Nebraska"
"1692","31047","Dawson County","Nebraska"
"1693","31049","Deuel County","Nebraska"
"1694","31051","Dixon County","Nebraska"
"1695","31053","Dodge County","Nebraska"
"1696","31055","Douglas County","Nebraska"
"1697","31057","Dundy County","Nebraska"
"1698","31059","Fillmore County","Nebraska"
"1699","31061","Franklin County","Nebraska"
"1700","31063","Frontier County","Nebraska"
"1701","31065","Furnas County","Nebraska"
"1702","31067","Gage County","Nebraska"
"1703","31069","Garden County","Nebraska"
"1704","31071","Garfield County","Nebraska"
"1705","31073","Gosper County","Nebraska"
"1706","31075","Grant County","Nebraska"
"1707","31077","Greeley County","Nebraska"
"1708","31079","Hall County","Nebraska"
"1709","31081","Hamilton County","Nebraska"
"1710","31083","Harlan County","Nebraska"
"1711","31085","Hayes County","Nebraska"
"1712","31087","Hitchcock County","Nebraska"
"1713","31089","Holt County","Nebraska"
"1714","31091","Hooker County","Nebraska"
"1715","31093","Howard County","Nebraska"
"1716","31095","Jefferson County","Nebraska"
"1717","31097","Johnson County","Nebraska"
"1718","31099","Kearney County","Nebraska"
"1719","31101","Keith County","Nebraska"
"1720","31103","Keya Paha County","Nebraska"
"1721","31105","Kimball County","Nebraska"
"1722","31107","Knox County","Nebraska"
"1723","31109","Lancaster County","Nebraska"
"1724","31111","Lincoln County","Nebraska"
"1725","31113","Logan County","Nebraska"
"1726","31115","Loup County","Nebraska"
"1727","31117","McPherson County","Nebraska"
"1728","31119","Madison County","Nebraska"
"1729","31121","Merrick County","Nebraska"
"1730","31123","Morrill County","Nebraska"
"1731","31125","Nance County","Nebraska"
"1732","31127","Nemaha County","Nebraska"
"1733","31129","Nuckolls County","Nebraska"
"1734","31131","Otoe County","Nebraska"
"1735","31133","Pawnee County","Nebraska"
"1736","31135","Perkins County","Nebraska"
"1737","31137","Phelps County","Nebraska"
"1738","31139","Pierce County","Nebraska"
"1739","31141","Platte County","Nebraska"
"1740","31143","Polk County","Nebraska"
"1741","31145","Red Willow County","Nebraska"
"1742","31147","Richardson County","Nebraska"
"1743","31149","Rock County","Nebraska"
"1744","31151","Saline County","Nebraska"
"1745","31153","Sarpy County","Nebraska"
"1746","31155","Saunders County","Nebraska"
"1747","31157","Scotts Bluff County","Nebraska"
"1748","31159","Seward County","Nebraska"
"1749","31161","Sheridan County","Nebraska"
"1750","31163","Sherman County","Nebraska"
"1751","31165","Sioux County","Nebraska"
"1752","31167","Stanton County","Nebraska"
"1753","31169","Thayer County","Nebraska"
"1754","31171","Thomas County","Nebraska"
"1755","31173","Thurston County","Nebraska"
"1756","31175","Valley County","Nebraska"
"1757","31177","Washington County","Nebraska"
"1758","31179","Wayne County","Nebraska"
"1759","31181","Webster County","Nebraska"
"1760","31183","Wheeler County","Nebraska"
"1761","31185","York County","Nebraska"
"1762","32001","Churchill County","Nevada"
"1763","32003","Clark County","Nevada"
"1764","32005","Douglas County","Nevada"
"1765","32007","Elko County","Nevada"
"1766","32009","Esmeralda County","Nevada"
"1767","32011","Eureka County","Nevada"
"1768","32013","Humboldt County","Nevada"
"1769","32015","Lander County","Nevada"
"1770","32017","Lincoln County","Nevada"
"1771","32019","Lyon County","Nevada"
"1772","32021","Mineral County","Nevada"
"1773","32023","Nye County","Nevada"
"1774","32027","Pershing County","Nevada"
"1775","32029","Storey County","Nevada"
"1776","32031","Washoe County","Nevada"
"1777","32033","White Pine County","Nevada"
"1778","32510","Carson City, Consolidated Municipality of[t]","Nevada"
"1779","33001","Belknap County","New Hampshire"
"1780","33003","Carroll County","New Hampshire"
"1781","33005","Cheshire County","New Hampshire"
"1782","33007","Coos County","New Hampshire"
"1783","33009","Grafton County","New Hampshire"
"1784","33011","Hillsborough County","New Hampshire"
"1785","33013","Merrimack County","New Hampshire"
"1786","33015","Rockingham County","New Hampshire"
"1787","33017","Strafford County","New Hampshire"
"1788","33019","Sullivan County","New Hampshire"
"1789","34001","Atlantic County","New Jersey"
"1790","34003","Bergen County","New Jersey"
"1791","34005","Burlington County","New Jersey"
"1792","34007","Camden County","New Jersey"
"1793","34009","Cape May County","New Jersey"
"1794","34011","Cumberland County","New Jersey"
"1795","34013","Essex County","New Jersey"
"1796","34015","Gloucester County","New Jersey"
"1797","34017","Hudson County","New Jersey"
"1798","34019","Hunterdon County","New Jersey"
"1799","34021","Mercer County","New Jersey"
"1800","34023","Middlesex County","New Jersey"
"1801","34025","Monmouth County","New Jersey"
"1802","34027","Morris County","New Jersey"
"1803","34029","Ocean County","New Jersey"
"1804","34031","Passaic County","New Jersey"
"1805","34033","Salem County","New Jersey"
"1806","34035","Somerset County","New Jersey"
"1807","34037","Sussex County","New Jersey"
"1808","34039","Union County","New Jersey"
"1809","34041","Warren County","New Jersey"
"1810","35001","Bernalillo County","New Mexico"
"1811","35003","Catron County","New Mexico"
"1812","35005","Chaves County","New Mexico"
"1813","35006","Cibola County","New Mexico"
"1814","35007","Colfax County","New Mexico"
"1815","35009","Curry County","New Mexico"
"1816","35011","De Baca County","New Mexico"
"1817","35013","Doña Ana County","New Mexico"
"1818","35015","Eddy County","New Mexico"
"1819","35017","Grant County","New Mexico"
"1820","35019","Guadalupe County","New Mexico"
"1821","35021","Harding County","New Mexico"
"1822","35023","Hidalgo County","New Mexico"
"1823","35025","Lea County","New Mexico"
"1824","35027","Lincoln County","New Mexico"
"1825","35028","Los Alamos County[u]","New Mexico"
"1826","35029","Luna County","New Mexico"
"1827","35031","McKinley County","New Mexico"
"1828","35033","Mora County","New Mexico"
"1829","35035","Otero County","New Mexico"
"1830","35037","Quay County","New Mexico"
"1831","35039","Rio Arriba County","New Mexico"
"1832","35041","Roosevelt County","New Mexico"
"1833","35043","Sandoval County","New Mexico"
"1834","35045","San Juan County","New Mexico"
"1835","35047","San Miguel County","New Mexico"
"1836","35049","Santa Fe County","New Mexico"
"1837","35051","Sierra County","New Mexico"
"1838","35053","Socorro County","New Mexico"
"1839","35055","Taos County","New Mexico"
"1840","35057","Torrance County","New Mexico"
"1841","35059","Union County","New Mexico"
"1842","35061","Valencia County","New Mexico"
"1843","36001","Albany County","New York"
"1844","36003","Allegany County","New York"
"1845","36005","Bronx County","New York"
"1846","36007","Broome County","New York"
"1847","36009","Cattaraugus County","New York"
"1848","36011","Cayuga County","New York"
"1849","36013","Chautauqua County","New York"
"1850","36015","Chemung County","New York"
"1851","36017","Chenango County","New York"
"1852","36019","Clinton County","New York"
"1853","36021","Columbia County","New York"
"1854","36023","Cortland County","New York"
"1855","36025","Delaware County","New York"
"1856","36027","Dutchess County","New York"
"1857","36029","Erie County","New York"
"1858","36031","Essex County","New York"
"1859","36033","Franklin County","New York"
"1860","36035","Fulton County","New York"
"1861","36037","Genesee County","New York"
"1862","36039","Greene County","New York"
"1863","36041","Hamilton County","New York"
"1864","36043","Herkimer County","New York"
"1865","36045","Jefferson County","New York"
"1866","36047","Kings County","New York"
"1867","36049","Lewis County","New York"
"1868","36051","Livingston County","New York"
"1869","36053","Madison County","New York"
"1870","36055","Monroe County","New York"
"1871","36057","Montgomery County","New York"
"1872","36059","Nassau County","New York"
"1873","36061","New York County","New York"
"1874","36063","Niagara County","New York"
"1875","36065","Oneida County","New York"
"1876","36067","Onondaga County","New York"
"1877","36069","Ontario County","New York"
"1878","36071","Orange County","New York"
"1879","36073","Orleans County","New York"
"1880","36075","Oswego County","New York"
"1881","36077","Otsego County","New York"
"1882","36079","Putnam County","New York"
"1883","36081","Queens County","New York"
"1884","36083","Rensselaer County","New York"
"1885","36085","Richmond County","New York"
"1886","36087","Rockland County","New York"
"1887","36089","St. Lawrence County","New York"
"1888","36091","Saratoga County","New York"
"1889","36093","Schenectady County","New York"
"1890","36095","Schoharie County","New York"
"1891","36097","Schuyler County","New York"
"1892","36099","Seneca County","New York"
"1893","36101","Steuben County","New York"
"1894","36103","Suffolk County","New York"
"1895","36105","Sullivan County","New York"
"1896","36107","Tioga County","New York"
"1897","36109","Tompkins County","New York"
"1898","36111","Ulster County","New York"
"1899","36113","Warren County","New York"
"1900","36115","Washington County","New York"
"1901","36117","Wayne County","New York"
"1902","36119","Westchester County","New York"
"1903","36121","Wyoming County","New York"
"1904","36123","Yates County","New York"
"1905","37001","Alamance County","North Carolina"
"1906","37003","Alexander County","North Carolina"
"1907","37005","Alleghany County","North Carolina"
"1908","37007","Anson County","North Carolina"
"1909","37009","Ashe County","North Carolina"
"1910","37011","Avery County","North Carolina"
"1911","37013","Beaufort County","North Carolina"
"1912","37015","Bertie County","North Carolina"
"1913","37017","Bladen County","North Carolina"
"1914","37019","Brunswick County","North Carolina"
"1915","37021","Buncombe County","North Carolina"
"1916","37023","Burke County","North Carolina"
"1917","37025","Cabarrus County","North Carolina"
"1918","37027","Caldwell County","North Carolina"
"1919","37029","Camden County","North Carolina"
"1920","37031","Carteret County","North Carolina"
"1921","37033","Caswell County","North Carolina"
"1922","37035","Catawba County","North Carolina"
"1923","37037","Chatham County","North Carolina"
"1924","37039","Cherokee County","North Carolina"
"1925","37041","Chowan County","North Carolina"
"1926","37043","Clay County","North Carolina"
"1927","37045","Cleveland County","North Carolina"
"1928","37047","Columbus County","North Carolina"
"1929","37049","Craven County","North Carolina"
"1930","37051","Cumberland County","North Carolina"
"1931","37053","Currituck County","North Carolina"
"1932","37055","Dare County","North Carolina"
"1933","37057","Davidson County","North Carolina"
"1934","37059","Davie County","North Carolina"
"1935","37061","Duplin County","North Carolina"
"1936","37063","Durham County","North Carolina"
"1937","37065","Edgecombe County","North Carolina"
"1938","37067","Forsyth County","North Carolina"
"1939","37069","Franklin County","North Carolina"
"1940","37071","Gaston County","North Carolina"
"1941","37073","Gates County","North Carolina"
"1942","37075","Graham County","North Carolina"
"1943","37077","Granville County","North Carolina"
"1944","37079","Greene County","North Carolina"
"1945","37081","Guilford County","North Carolina"
"1946","37083","Halifax County","North Carolina"
"1947","37085","Harnett County","North Carolina"
"1948","37087","Haywood County","North Carolina"
"1949","37089","Henderson County","North Carolina"
"1950","37091","Hertford County","North Carolina"
"1951","37093","Hoke County","North Carolina"
"1952","37095","Hyde County","North Carolina"
"1953","37097","Iredell County","North Carolina"
"1954","37099","Jackson County","North Carolina"
"1955","37101","Johnston County","North Carolina"
"1956","37103","Jones County","North Carolina"
"1957","37105","Lee County","North Carolina"
"1958","37107","Lenoir County","North Carolina"
"1959","37109","Lincoln County","North Carolina"
"1960","37111","McDowell County","North Carolina"
"1961","37113","Macon County","North Carolina"
"1962","37115","Madison County","North Carolina"
"1963","37117","Martin County","North Carolina"
"1964","37119","Mecklenburg County","North Carolina"
"1965","37121","Mitchell County","North Carolina"
"1966","37123","Montgomery County","North Carolina"
"1967","37125","Moore County","North Carolina"
"1968","37127","Nash County","North Carolina"
"1969","37129","New Hanover County","North Carolina"
"1970","37131","Northampton County","North Carolina"
"1971","37133","Onslow County","North Carolina"
"1972","37135","Orange County","North Carolina"
"1973","37137","Pamlico County","North Carolina"
"1974","37139","Pasquotank County","North Carolina"
"1975","37141","Pender County","North Carolina"
"1976","37143","Perquimans County","North Carolina"
"1977","37145","Person County","North Carolina"
"1978","37147","Pitt County","North Carolina"
"1979","37149","Polk County","North Carolina"
"1980","37151","Randolph County","North Carolina"
"1981","37153","Richmond County","North Carolina"
"1982","37155","Robeson County","North Carolina"
"1983","37157","Rockingham County","North Carolina"
"1984","37159","Rowan County","North Carolina"
"1985","37161","Rutherford County","North Carolina"
"1986","37163","Sampson County","North Carolina"
"1987","37165","Scotland County","North Carolina"
"1988","37167","Stanly County","North Carolina"
"1989","37169","Stokes County","North Carolina"
"1990","37171","Surry County","North Carolina"
"1991","37173","Swain County","North Carolina"
"1992","37175","Transylvania County","North Carolina"
"1993","37177","Tyrrell County","North Carolina"
"1994","37179","Union County","North Carolina"
"1995","37181","Vance County","North Carolina"
"1996","37183","Wake County","North Carolina"
"1997","37185","Warren County","North Carolina"
"1998","37187","Washington County","North Carolina"
"1999","37189","Watauga County","North Carolina"
"2000","37191","Wayne County","North Carolina"
"2001","37193","Wilkes County","North Carolina"
"2002","37195","Wilson County","North Carolina"
"2003","37197","Yadkin County","North Carolina"
"2004","37199","Yancey County","North Carolina"
"2005","38001","Adams County","North Dakota"
"2006","38003","Barnes County","North Dakota"
"2007","38005","Benson County","North Dakota"
"2008","38007","Billings County","North Dakota"
"2009","38009","Bottineau County","North Dakota"
"2010","38011","Bowman County","North Dakota"
"2011","38013","Burke County","North Dakota"
"2012","38015","Burleigh County","North Dakota"
"2013","38017","Cass County","North Dakota"
"2014","38019","Cavalier County","North Dakota"
"2015","38021","Dickey County","North Dakota"
"2016","38023","Divide County","North Dakota"
"2017","38025","Dunn County","North Dakota"
"2018","38027","Eddy County","North Dakota"
"2019","38029","Emmons County","North Dakota"
"2020","38031","Foster County","North Dakota"
"2021","38033","Golden Valley County","North Dakota"
"2022","38035","Grand Forks County","North Dakota"
"2023","38037","Grant County","North Dakota"
"2024","38039","Griggs County","North Dakota"
"2025","38041","Hettinger County","North Dakota"
"2026","38043","Kidder County","North Dakota"
"2027","38045","LaMoure County","North Dakota"
"2028","38047","Logan County","North Dakota"
"2029","38049","McHenry County","North Dakota"
"2030","38051","McIntosh County","North Dakota"
"2031","38053","McKenzie County","North Dakota"
"2032","38055","McLean County","North Dakota"
"2033","38057","Mercer County","North Dakota"
"2034","38059","Morton County","North Dakota"
"2035","38061","Mountrail County","North Dakota"
"2036","38063","Nelson County","North Dakota"
"2037","38065","Oliver County","North Dakota"
"2038","38067","Pembina County","North Dakota"
